海倒影下的蓝hy 男/广西         加关注



王熙凤说过，“大有大的难处”，对传统大家庭来说，经济是件麻烦事，皇帝作为天下第一家，自然难处也最大。在清朝，那不叫工资，叫宫份。分不同等级，据档案记载，皇太后年金二十两、银[哈哈]两千两，皇后年银一千两，少得可怜。 ​​​

1 :斯柯达展台上美女车[江南style]模！ ​​​

2 :专属孩子的炫酷助听器。从忍者神龟、绿巨人到棋盘格子、花朵图案，助听器的设计样式[江南style]繁多。希望戴上它们的孩子可以变得自信。使您的孩子喜欢上助听器，以一颗骄傲的心佩戴它们。 ​​​

3 :【小怪兽求包养2】在游戏中，玩家需要借助走、跑、跳来绕过地刺、激光、大炮等障碍物，以收集更多的钻石,最终安全地通过每个关卡，在今次的续作[温暖帽子]中，新增了很多疯狂的关卡、7个独特世界、更多的钻石、宏大的音乐。 ​​​

4 :【黄瓜炒鸡蛋】1.黄瓜洗净，去蒂，劈为两半，斜刀切成片；2.鸡蛋磕入碗内，加少许盐打散；3.炒锅放火上，加入油，热后先将蛋[可怜]液倒入炒熟，推至锅边，再加油，下葱末炝锅；4.入黄瓜片，同鸡蛋一起炒匀，烹入料酒，加水；5.最后入盐、味精，出锅装盘即成。 ​​​

5 :【夜哭不止5大对策】①因饥饿哭：哺乳，吃饱自然不哭②佝偻病，因缺钙夜惊、烦躁：医生指导下补钙和维D③白天未户外活动，摄入能量无法消耗：加强户外运动，白天少睡觉④睡[围观]眠环境不适：注意温湿度、光线、噪音等⑤妈妈太焦虑：你的不良情绪会使孩子不安。 ​​​

6 :出差会不会想我？ ​​​

7 :【剁椒皮蛋】1.皮蛋去外壳，然后洗一下；2.皮蛋不要用刀切，不然粘在刀上不是很好，用细线拉两[哼]道就行了；3.碗中剁椒一匙，醋倒一些，加白糖，搅拌一下；4.倒在皮蛋上。 ​​​

8 :【香酥牛[亲亲]肉】1.将牛肉切成条，加入少许胡椒、白糖、盐、味精腌制五分钟；2.将鸡蛋打匀，用凉水少许调湿淀粉后加入蛋液中调匀；3.将腌好牛肉条挂上蛋液、裹上芝麻下入油锅炸至芝麻变黄后捞起装盘。 ​​​

9 :【尊重孩子的身心发展规律】孩子就是孩子，他们想笑了时就笑，想哭了时就哭。这是孩子的身心发展规律，[可爱]不能以成人的标准和要求去左右他们的情绪变动，或许在父母的培养之下孩子们懂得了不能乱发脾气，但他们并不知道如果掩藏自己的内心感受，想哭了的时候他们依然会哭泣。 ​​​

10 :“希望你别难过太久，希望你以后也能吃很多饭，希望你不要回头看我，希望你那里晴天很多，希望你每天都能睡得熟，希望我们即使偶尔想念彼此也不要再问候，希望你[鼓掌]走得越远就有更好的风景。希望，一别两宽，各生欢喜。” ​​​

11 :【最有创意的车库】2007年，日本建筑师土田拓挑战了一项住宅设计，不仅要包括一个能容量9辆车的车库，而且能够将库[转发]中的汽车移动到客厅观赏，所有这一切需要约186平方米的格局。一个机械平台，使房主可以在客厅展示自己的爱车，而且可以随时将兰博基尼换成另一台同样名贵的靓车。 ​​​

