刘蛋蛋o0策成 男/江苏         加关注



你看不到我的[抓狂]光芒又何必勉强; ​​​

1 :我站出来一[弱]步，你却总是退一步，就像在跳舞。 ​​​

2 :鸟过拉弓——失[猪头]了时机 ​​​

3 :以后谁再说爱你，上去啪就一嘴巴子，如果他没还手就是[哆啦A梦微笑]真的爱你。 ​​​

4 :若不是因为爱着你，怎么会深夜还没睡[哆啦A梦花心]意，每个念头都关于你，我想你，好想你。 ​​​

5 :原来、[泪]内心的坚持是如此不堪一击。 ​​​

6 :两个人在一[神马]起，没有合不合适，只有懂不懂的珍惜 ​​​

7 :ㄣ冬天，离去[右哼哼]了，眼泪，停止了，我们，远走了。 ​​​

8 :我不会因为没有[doge]掌声而放弃自己的梦想。 ​​​

9 :真正的爱人是你教出来的，而不是你拣个大便宜不[赞]劳而获从天上掉下来的。你要教会他用怎样的方式去爱你。 ​​​

10 :饿着肚子造反[生病]——借机（饥）闹事 ​​​

11 :我们不要计算一个人的年纪，[浮云]除非他没有一点其他的东西可供计算。 ​​​

12 :以人之长补其短，[黑线]以人之厚补其薄。 ​​​

13 :面对机会，你要勇敢，输也罢、赢也罢，都是一种经历，是一笔花钱买不[哼]来的财富。 ​​​

14 :寒冷的夜晚，一想起你温暖的身体，柔嫩的肌肤，我便心驰神往，不能自主，好渴望[抱抱]拥你进入梦乡……我的棉被 ​​​

15 :每次我感到失意[NO]时,都回忆起你的浅笑,你的鼓励,它们使我坚强的面对下去,谢谢你!! ​​​

16 :..房屋别墅只是虚无..坟墓[哆啦A梦微笑]才是永远的家 ​​​

17 :几百年的老[哈欠]陈帐——难算；算不清 ​​​

18 :说了我爱你，是否[吐]可以永远在一起。 ​​​

19 :让对方和自己永远都在一起。所以，女孩的善解人意最终将男友溺爱成一个不懂爱、不会爱的情场低能儿，从此，他不再有能力追求别的女孩，只能不断回到她[威武]的怀抱。 ​​​

20 :好多人做不好自己，是因为总想着做[抱抱]别人！ ​​​

21 :不合法的欲望在享受之后[生病]受惩诫，但不可能达到的欲望则在欲望的本身中受惩诫。 ​​​

22 :画个圈圈诅[舔屏]咒你——与我白头到老。 ​​​

23 :大门[猪头]上挂扫把——臊（扫）脸 ​​​

24 :洗心，一切重[嘘]头再来。 ​​​

25 :请允许我留一点防[兔子]备，这样至少不会很狼狈。 ​​​

26 :少了信任友情感情爱[馋嘴]情什么情都分文不值。 ​​​

27 :若长相守不过你拈花我把酒，酒醒后能否赏我[钱]个好梦如旧。 ​​​

28 :怪我自己没眼力，把你当作人了，早知[ok]道就买条狗链套你脖子上了。 ​​​

29 :虽然你淡出我的生命,却还占据[可爱]我的记忆. ​​​

30 :我努力忍住了不满迁就[嘘]你你也有点尺度别给脸不要给你脸得要。 ​​​

31 :庄家做完一只股票后说：赚得不少了，可以休息半年，出去旅游了；散户：才赚了这么一[熊猫]点点，立马重杀入股市。 ​​​

32 :快乐不是因为你得到的多了，而是因为你计较的[偷笑]少了。 ​​​

33 :人必须通过财富[互粉]和安逸的考验，始知其身的坚强。 ​​​

34 :别跟姐说白头到老，姐要永远[酷]黑发飘飘。 ​​​

