0wiuj8e4 女/云南         加关注



碎花般得青春，如同深夜[委屈]的萤火，飞舞于寂寞的墨色中。 ​​​

1 :劳动是食欲的父亲，是消化的[来]祖父，是健康的曾祖。 ​​​

2 :我承认[吃惊]，在喜欢你这件事情上，我对付不了我自己。 ​​​

3 :每个混蛋的身体[困]里，都住了一颗受伤的心。 ​​​

4 :青春深邃的眸光里，掩[悲伤]藏着绝不相符的温柔，就在电光火石之间，心底的声音出奇的镇定，好像马上就要给人幸福起来的感觉。抽空了的思绪，早已觉察不到眼神里的黯然。 ​​​

5 :以前觉得身边要有一大票的朋[草泥马]友，觉得那样很酷炫，有那么多认识的人。现在呢，觉得真的有一两个懂你的，就够了。 ​​​

6 :遇到[太开心]辉京那样的男人就嫁了吧！ ​​​

7 :人家有[神马]的是背景，而我有的是背影。 ​​​

8 :少年——好似一位快乐的君主：不问天有好高，也不知[拜拜]人间尚有烦扰，只想摘下天上的星月，铺一条光明的道路。 ​​​

9 :豿行千里吃[委屈]屎00 ​​​

10 :彻夜难眠的思念、缠绕着那些回忆、难以入睡的想念、牵[good]引着那些记忆 ​​​

11 :大大的落地窗上飘散着明黄色的窗帘，带给了客厅轻盈的质感。当阳光照射在窗[左哼哼]帘上，便将温暖和明媚同时传送到客厅空间，藤编小茶几，纤细线条勾勒出自然亲和的雅致生活情调。 ​​​

12 :時光沒[赞]有教會我任何東西，卻教會了我不要輕易的去相信一個承若。 ​​​

13 :亲爱的朋友请不要难过，离别以后[挤眼]要彼此珍重。 ​​​

14 :会不会很久以后你想起我，[可爱]然后问自己为什么当初没有好好珍惜我。 ​​​

15 :真心对你，你不理，有心玩你，你却[怒骂]陪./* ​​​

16 :“人和人的出场顺序很重要陪你[吐]酩酊大醉的人是没办法送你回家的” ​​​

17 :女孩子经常会被男人感动，以为是被爱了。但过段时间后，却忽然发觉，他其实并不爱你……没错，男人能感动你，却并不一定爱你。感动只是想得到你，而爱却是需要付出自己[浮云]……不要轻易被感动，因为你需要的不是个感动你的人，而是个能和你在一起的 ​​​

18 :好男人就是反复睡一个姑[围观]娘，一睡就睡一辈子 ​​​

19 :我心本自向明月，无[嘻嘻]奈明月照沟渠。 ​​​

20 :生命是一座空城，里面装满了妖言惑众的爱[挤眼]情。 ​​​

21 :我爱你是多么温暖多么勇敢[草泥马]的力量 ​​​

22 :说真的我生气归生气[给力]吃醋归吃醋但是从来没想过离开你　 ​​​

23 :一起闯过的兄弟[微笑]，你现在都到哪去了。 ​​​

24 :一恍惚物是人非当[心]初的已改变 ​​​

25 :低调做人，那你会一次比一次稳健；高调做事，你就会一次比一次[喵喵]优秀。 ​​​

26 :暗地里耍拳——[泪]瞎打一阵 ​​​

27 :有时即使身处欢声笑语处却依旧孤独[二哈]的像站在黑洞中 ​​​

28 :最寂[右哼哼]寞的人，应该是记忆中该遗忘的人。 ​​​

29 :我抵得住孤[哆啦A梦吃惊]单和寂寞却抵不住你在我身边的沉默。 ​​​

30 :曾经的海誓山盟，天长地久[哆啦A梦花心]，蜜中翻滚。。。。 ​​​

