菜花甜妈冰具 男/吉林         加关注



如今谁还相信，这个世界的某个角落，还会有个人，在安静的等待。 ​​​

1 :命运赐予我们遇见，却不赐予我们永远。 ​​​

2 :老将要镰刀——少见（剑） ​​​

3 :失去的越多，明白的也就越多 ​​​

4 :和你在一起只是我不想给任何人机会！ ​​​

5 :对待女生只要十个字就够了你美你吃你买你说的对。 ​​​

6 :老太太不吃杏——酸心 ​​​

7 :喜新厌旧不是病不断原谅才有病 ​​​

8 :厨房的用餐区。倚墙而放的水泥浇筑的树脂长台除了当餐桌也可以作为普通桌子用。远处悬挂的是一个稻草编织的巢穴形吊灯。 ​​​

9 :只要一家人在一起，苦乐与共，总会撑过去。───《我的爱如此麻辣》 ​​​

10 :如果你不曾带我到天堂，我怎会知道地狱是这般模样。 ​​​

11 :花自飘零水自流，一种相思，两处闲愁。 ​​​

12 :我爱你是忠于自己忠于爱情的信仰 ​​​

13 :女友说：“老公，我不想让别人看到我的双下巴，又不想减肥，怎么办？”我：“那你只能留胡子了！” ​​​

14 :年龄，总是一个敏感的话题，国外人甚至将它视为个人的“隐私”，女人尤其如此。不过，我从来不避讳谈论自己的年龄，敢于坦然面对。毕竟世上万物都有它成长的季节，年龄也一样，作为活生生的人，当然也有平庸之时和辉煌之际，这是人的生命规律使然，说与不说都一个样。 ​​​

15 :年轻女孩因为物质而选择男人是可惜和浪费：她们失去了追寻自己是谁的机会，吃苦趁年轻才能发掘出身体里的宝藏，老了再面临险境后悔晚矣！不要选“容易的路”，那其实是最艰难的。未经世故的女人习于顺境，易苛以待人；而饱经世故的女人深谙逆境，反而宽以处世。 ​​​

16 :白活等于早死。 ​​​

17 :戏子没卸装——油头粉面 ​​​

18 :犯错是人之常情，不过若犯错犯得太多，连橡皮擦都用尽的话就太过火了。 ​​​

19 :以前是太过于在乎舍不得放弃,现在都释怀了 ​​​

20 :我的轰烈早就赴向最渊底覆亡无日 ​​​

21 :强大的信心，能克服来自内心的恶魔，产生无往不胜的勇气。 ​​​

22 :心中的那把钥匙，至此至今，都无法打开。因为，无法把你忘怀。 ​​​

23 :带着一份从容，那将会是你从没见过的我；不要再说，离开以后还会想念；不要说，分手以后还是朋友。离开一个地方，风景就不再属于你；错过一个人，那人也便与你无关。 ​​​

24 :爱一个人是不怕的恨一个人也是不怕的可怕的是对一个人爱恨交织。。 ​​​

25 :有一种爱叫“我无所谓”，有一种被爱叫“算我倒霉”。 ​​​

26 :听说睡觉手机放枕头旁边有辐射吓得我赶紧起来把枕头扔了吓死我了妈蛋。 ​​​

27 :我终于将你视为平常连看你眼都感觉多余 ​​​

28 :人生就是这样,有欢笑也有泪水.一部分人主要负责欢笑,另一部分人主要负责泪水. ​​​

29 :漂亮姐的耳朵眼儿——光钻空子 ​​​

30 :结交淡若水，履道直如弦。 ​​​

31 :你需要一个人的独自旅行，将自己扔进陌生中的勇气。它让你不得不因为食物、语言、路线的问题不断与陌生人发生交谈，让你在危险和未知中拓宽舒适圈。你只有跳开自己的生活，用旁观者的角度去审视，才更懂自己这么一个人。 ​​​

