慕容地空 女/甘肃         加关注



一盘棋下了三天[哆啦A梦花心]——棋逢对手 ​​​

1 :青春是一道明媚的忧伤，[偷笑]我没哭，可是眼泪流下来了。 ​​​

2 :婆婆穿花袄——[抱抱]老来俏 ​​​

3 :良心炯炯[生病]，有过自知；知而不改，谓之自欺。 ​​​

4 :遇见你们不是因为巧合，而是[话筒]因为注定 ​​​

5 :君子下学[污]而无常师，小人耻学而羞不能。 ​​​

6 :那些奢望幸福的人都有着悲伤的故[摊手]事。 ​​​

7 :-得到的不珍[摊手]惜,失去的却很伤心,连我都不懂我,, ​​​

8 :其实一直以来陪伴你的，都是那[微笑]个了不起的自己。 ​​​

9 :冷了[挤眼]照顾好自己，毕竟我给不了你拥抱也借不了你外套 ​​​

10 :谁伤害过你，谁击溃过你，都不重要。[草泥马]重要的是谁让你重现笑容。 ​​​

11 :请君[doge]节哀…… ​​​

12 :你救了一个老人等于救了一个单位，但当你救了一个孩子[怒骂]时，你便救了一个乘数表。 ​​​

13 :当你眼泪忍不住要流出来的时候，睁大眼睛，千万别眨眼！你会看到世界由清晰变模糊的全[睡]过程，心会在你泪水落下的那一刻变得清澈明晰…… ​​​

14 :今天我生[吃惊]日，我的愿望是：祝天下所有的有情人都是失散多年的亲兄妹 ​​​

15 :落叶他乡[思考]树，寒灯独夜人。 ​​​

16 :登山须正路，饮水[阴险]须直流。 ​​​

17 :你不要多翻白[喵喵]眼，小心成为白眼狼×N倍的狼，毕竟你的智商为- ​​​

18 :找到为你冠上心[话筒]病的人，他不是医者他也是病人。 ​​​

19 :干柴遇烈火，那叫明骚;湿柴遇小火苗[good]，那才是闷骚。 ​​​

20 :即使说一千遍我爱你，但只要一句分手就可以结束[舔屏]。这就是爱情。 ​​​

21 :人生无友，恰似生命[二哈]无太阳。 ​​​

22 :大鹏一日同[互粉]风起，浮摇直上九万里。大丈夫志四方。 ​​​

23 :在这个光怪陆离的人间，没有谁可以将[怒骂]日子过得行云流水。但我始终相信，走过平湖烟雨，岁月山河，那些历尽劫数，尝遍百味的人，会更加生动而干净。时间永远是旁观者，所有的过程和结果，都需要我们自己承担。 ​​​

24 :晴空万里唯一的缺点就[拜拜]是世界上有你。 ​​​

25 :如果对那些细小的，不大影响前程的好处，多一些谦让，一些荣誉称号多让给其他同事等，再比如与他人共同分享一笔奖金或是一项殊荣等等，你[哼]的这种豁达的处世态度无疑是会去赢得人们的好感的。 ​​​

26 :因最近频繁地震通往爱情的路以[吃惊]断裂请您绕道而行 ​​​

27 :三浦大知将于2月25日发行新单曲《Unlock》，新曲是为中谷美紀、水川あさみ出演的电视剧「ゴーストライター」演唱[哈哈]的主题歌，完整版PV已经公开。 ​​​

28 :山川河流可以使人与人互相阻隔，却无法将心与心阻隔，无论你走到天涯海角。我的心永远陪伴[抓狂]着你。 ​​​

29 :感情的戏太过苛刻，我演绎不了那华丽的场[耶]剧。 ​​​

30 :有钱的人，把自己的房子装饰的很漂亮；有德的人，把自己的[微笑]身心修养的很健康。 ​​​

